Id,Start,Name,Impact,Currency
aa3882b2-87c4-41bc-a97b-b8fdbbf9ae93,01/01/2020 00:00:00,New Year's Day,NONE,GBP
f836b252-2ae0-402e-8377-2f2455826a8b,01/01/2020 05:00:00,New Year's Day,NONE,USD
c5b01333-fb1d-4a42-af03-0b8ecfccd1b2,01/01/2020 05:00:00,New Year's Day,NONE,CAD
088e84e8-225e-4e98-b89f-1a3ae59bb45e,01/01/2020 12:00:00,"Day after New Year's Day ",NONE,NZD
047bd7ad-3b50-46c1-adaa-ffc47fb1b786,01/01/2020 15:00:00,Bank Holiday,NONE,JPY
cea9bfa7-273a-484b-ba19-38e10a2e113f,01/01/2020 22:00:00,S&P Global Manufacturing PMI,MEDIUM,AUD
8a77c4ff-6eaf-4637-b295-8e59f22d39c6,01/02/2020 01:45:00,Caixin Manufacturing PMI,HIGH,CNY
4cabc418-f6f2-454b-a7db-5500709fc70f,01/02/2020 05:30:00,RBA Commodity Index SDR (YoY),LOW,AUD
e85b7601-1293-432d-bd08-ac98876ac71c,01/02/2020 08:15:00,HCOB Manufacturing PMI,LOW,EUR
7a4c4cec-0f53-4867-8de9-16eb8cf9a0f5,01/02/2020 08:45:00,HCOB Manufacturing PMI,LOW,EUR
b5a213ae-4a3d-4e1a-b8d9-e30f7ebb9286,01/02/2020 08:50:00,HCOB Manufacturing PMI,LOW,EUR
1ce1d4c9-fef9-415b-b90c-b9283ef6ed66,01/02/2020 08:55:00,HCOB Manufacturing PMI,MEDIUM,EUR
11f01efd-c8b1-4d5d-9901-7cc0b01b137c,01/02/2020 09:00:00,HCOB Manufacturing PMI,LOW,EUR
751074ce-f667-44e9-9cf7-d0b6f1babbde,01/02/2020 09:30:00,S&P Global/CIPS Manufacturing PMI,MEDIUM,GBP
43a48249-d598-4f6c-a712-8e8106ca7cf9,01/02/2020 12:30:00,Challenger Job Cuts,LOW,USD
7855b058-ea5f-411d-9d02-328958214c57,01/02/2020 13:30:00,Continuing Jobless Claims,LOW,USD
b0e0a0fa-efcd-49a4-b324-af0c5ea6b3bc,01/02/2020 13:30:00,Initial Jobless Claims,MEDIUM,USD
eb18a927-83c8-46ff-b950-9ca2e0859646,01/02/2020 13:30:00,Initial Jobless Claims 4-week average,MEDIUM,USD
8c4bf2f0-1a54-4247-bed6-849041553999,01/02/2020 14:30:00,S&P Global Manufacturing PMI,MEDIUM,CAD
fd0e8fd4-5b87-4b69-96a6-9203c469d2e6,01/02/2020 14:45:00,S&P Global Manufacturing PMI,MEDIUM,USD
91dbc788-8442-4d92-a8f7-d81589b0820b,01/02/2020 15:00:00,Bank Holiday,NONE,JPY
f5960514-3dc0-4b94-8594-5d86adb93abb,01/02/2020 16:30:00,4-Week Bill Auction,LOW,USD
a3820f1a-44dd-4b09-9908-3550ce178e42,01/03/2020 00:01:00,BRC Shop Price Index (YoY),LOW,GBP
e9ae4bc9-e731-4512-aef0-4953c972177f,01/03/2020 07:00:00,Nationwide Housing Prices n.s.a (YoY),LOW,GBP
bd61b478-d3f6-4cea-a24a-cb51557aec6b,01/03/2020 07:00:00,Nationwide Housing Prices s.a (MoM),LOW,GBP
d9bee6ef-a6e7-4987-8164-813d08181ecf,01/03/2020 07:45:00,Consumer Price Index (EU norm) (MoM),LOW,EUR
f4ba2a37-940e-4493-a11f-b68318dd08cc,01/03/2020 07:45:00,Consumer Price Index (EU norm) (YoY),LOW,EUR
1bfd8d07-6c6f-4993-875c-030c183135e5,01/03/2020 08:00:00,Unemployment Change,LOW,EUR
7ba2eae8-3ea9-45ea-9400-aa96627a81da,01/03/2020 08:30:00,SVME - Purchasing Managers' Index,LOW,CHF
43bf5afc-e623-40f2-9a95-73e49b8c2a53,01/03/2020 08:55:00,Unemployment Change,MEDIUM,EUR
ec8964ff-1c7d-42c4-8a37-7e0e1eda87c1,01/03/2020 08:55:00,Unemployment Rate s.a.,MEDIUM,EUR
08636119-0447-467c-94dd-e99cd1ee7878,01/03/2020 09:00:00,M3 Money Supply (3m),LOW,EUR
a8a88497-e747-44a0-8a52-623f6c4cec84,01/03/2020 09:00:00,M3 Money Supply (YoY),LOW,EUR
19963afd-f2f8-435c-9f0b-cb7a42ff2753,01/03/2020 09:00:00,Private Loans (YoY),LOW,EUR
f2ea0615-fb48-45af-b89c-f807c198a0bd,01/03/2020 09:30:00,Consumer Credit,LOW,GBP
751f6acc-69c8-438b-898c-329e5d2e8d99,01/03/2020 09:30:00,M4 Money Supply (MoM),LOW,GBP
725c2cb4-5f1a-49bb-9dc6-4f8e06980807,01/03/2020 09:30:00,M4 Money Supply (YoY),LOW,GBP
0c688f88-0f46-4606-af44-a4e5a36e19a1,01/03/2020 09:30:00,Mortgage Approvals,LOW,GBP
3f23e1b8-33a9-434c-947d-f274fcb24e45,01/03/2020 09:30:00,Net Lending to Individuals (MoM),LOW,GBP
fa078128-56ed-4648-8894-4b00344732b6,01/03/2020 09:30:00,S&P Global Construction PMI,LOW,GBP
da78c880-0a00-4d6b-b9f4-024f2d9bbcb1,01/03/2020 13:00:00,Consumer Price Index (MoM),LOW,EUR
13b6d74c-e183-449f-bec1-7bea2cfdb787,01/03/2020 13:00:00,Consumer Price Index (YoY),LOW,EUR
55b1f77e-d062-4be6-9acc-78c97d48ba55,01/03/2020 13:00:00,Harmonized Index of Consumer Prices (MoM),LOW,EUR
be36572c-0dbf-4b11-aca1-bf854160ba4a,01/03/2020 13:00:00,Harmonized Index of Consumer Prices (YoY),HIGH,EUR
edb92bcb-1f50-4cea-96d4-d0176206c937,01/03/2020 14:45:00,ISM-NY Business Conditions Index,LOW,USD
0f8a123c-1080-4611-b68b-c8aa5b838146,01/03/2020 15:00:00,Construction Spending (MoM),LOW,USD
0d6a7422-45f5-4058-a4f5-f575dc19588f,01/03/2020 15:00:00,ISM Manufacturing Employment Index,MEDIUM,USD
483841bd-3dd1-410e-ac74-58d4273332a9,01/03/2020 15:00:00,ISM Manufacturing New Orders Index,MEDIUM,USD
5b125588-01ca-4aca-a365-8902ef7839f1,01/03/2020 15:00:00,ISM Manufacturing PMI,HIGH,USD
79a2a5f3-b9a7-4ca4-83ee-62125491cd39,01/03/2020 15:00:00,ISM Manufacturing Prices Paid,MEDIUM,USD
08b598f8-25b6-48e6-9b9f-d30ea9afed2b,01/03/2020 15:30:00,EIA Natural Gas Storage Change,LOW,USD
a55abd4f-a8de-44cb-9c27-9ffaff6935e6,01/03/2020 16:00:00,EIA Crude Oil Stocks Change,LOW,USD
288636f9-6c08-4acf-81cb-afb96b8703f1,01/03/2020 18:00:00,Baker Hughes US Oil Rig Count,LOW,USD
3da363c5-71b9-408a-a385-c7d37ada0269,01/03/2020 18:15:00,Fed's Brainard speech,MEDIUM,USD
32926920-7e9c-4a4f-903b-476b2bdbf28d,01/03/2020 18:15:00,BoC's Wilkins speech,MEDIUM,CAD
3fa72395-467b-48b9-b0a3-29529d398237,01/03/2020 19:00:00,FOMC Minutes,HIGH,USD
9a92f12d-155e-4326-855e-ee26e2266ba2,01/03/2020 20:30:00,Total Vehicle Sales,LOW,USD
faa83b3f-00d7-47f5-a64a-586990e27e97,01/05/2020 18:15:00,ECB's Lane speech,MEDIUM,EUR
0a37b85f-cbe1-4d29-bb18-a8f737c05d37,01/05/2020 18:15:00,BoC's Wilkins speech,MEDIUM,CAD
b8beb2db-8095-489e-8ae5-a60f5fdceb4b,01/05/2020 21:30:00,AiG Performance of Mfg Index,MEDIUM,AUD
45dd3f6b-fe86-47b8-8c86-94480704d2e5,01/05/2020 22:00:00,Epiphany,NONE,EUR
20fd449f-4c10-49a1-a76a-77488d8d9033,01/05/2020 22:00:00,Epiphany,NONE,EUR
644fb16f-1970-4d8a-acb5-06331cbd95f6,01/05/2020 22:00:00,S&P Global Composite PMI,LOW,AUD
d59eb9e1-e3ba-4cf6-8d0b-6b439ff9b75e,01/05/2020 22:00:00,S&P Global Services PMI,LOW,AUD
defd5f9d-7240-4c1e-892b-35a444d2ab49,01/06/2020 00:30:00,Jibun Bank Manufacturing PMI,LOW,JPY
dcf3bd0f-bcd3-4ca7-8a03-663d9d82bd4a,01/06/2020 01:45:00,Caixin Services PMI,MEDIUM,CNY
c52be279-2b9c-4625-9ace-559aa0061f46,01/06/2020 07:00:00,Retail Sales (MoM),MEDIUM,EUR
93a7971d-124c-42ab-87b9-f6c24ada94a1,01/06/2020 07:00:00,Retail Sales (YoY),LOW,EUR
4fb1c1d3-670f-46ad-b0d2-704f9566e4aa,01/06/2020 08:15:00,HCOB Services PMI,LOW,EUR
07288fa3-6531-424a-951f-339b217e05da,01/06/2020 08:45:00,HCOB Services PMI,LOW,EUR
e9dd7ef2-6fd5-4165-be95-c06d5b14e385,01/06/2020 08:50:00,HCOB Composite PMI,LOW,EUR
d02f8c50-c986-4906-b889-f4d425ca40c3,01/06/2020 08:50:00,HCOB Services PMI,LOW,EUR
3dc93fb6-e733-4b78-9645-c49c9307f180,01/06/2020 08:55:00,HCOB Composite PMI,MEDIUM,EUR
2554eedd-fef0-461c-ac2c-e64a0acef250,01/06/2020 08:55:00,HCOB Services PMI,LOW,EUR
bfd695fc-338d-47a7-8a95-4fa401b0a925,01/06/2020 09:00:00,HCOB Composite PMI,MEDIUM,EUR
8ce27b38-a2be-4e36-b076-7fefc9426e78,01/06/2020 09:00:00,HCOB Services PMI,LOW,EUR
55e4c3e9-f17d-4850-8fe6-77304748d54d,01/06/2020 09:30:00,S&P Global/CIPS Composite PMI,MEDIUM,GBP
a85872c5-5020-44a0-88ce-7cc5afe92777,01/06/2020 09:30:00,S&P Global/CIPS Services PMI,MEDIUM,GBP
42de824a-eb7f-4b47-8231-fa401141c9c4,01/06/2020 09:30:00,Sentix Investor Confidence,LOW,EUR
9c214f21-be6d-4331-841c-655a6bfdd274,01/06/2020 10:00:00,Producer Price Index (MoM),LOW,EUR
