Id,Start,Name,Impact,Currency
62bb1be6-0ed9-4202-b9b3-f522a9ed74b2,01/01/2018 00:00:00,New Year's Day,NONE,USD
bc2ea88b-bcdb-4834-b83a-98b7d0ce4b1a,01/01/2018 00:00:00,New Year's Day,NONE,GBP
9a0bb44c-9fbb-482e-b6ed-4878ebf2d59e,01/01/2018 00:00:00,"New Year's Day ",NONE,NZD
398fe0e6-8dc1-4959-9d25-15b831b7e3b8,01/01/2018 00:00:00,New Year's Day,NONE,JPY
8d3dbe3a-1654-4bdd-b3e0-2f8f4978a951,01/01/2018 00:00:00,New Year's Day,NONE,EUR
6d1e7217-bcf7-437b-b94c-bc5060456b8f,01/01/2018 00:00:00,New Year's Day,NONE,EUR
7bff15ad-cc2a-4eff-b630-76ce2fb04d0a,01/01/2018 00:00:00,New Year's Day,NONE,EUR
587b74ea-3f61-4511-9a69-95e9c0b0a109,01/01/2018 00:00:00,New Year's Day,NONE,EUR
925d2799-c687-4c82-ac89-174ca0d07c6c,01/01/2018 00:00:00,New Year's Day,NONE,CNY
9cc12416-ca64-4410-8ab0-45a22dc291c1,01/01/2018 00:00:00,New Year's Day,NONE,CHF
cb8f545c-f3e7-46b4-b1bc-42ae52f283a7,01/01/2018 00:00:00,New Year's Day,NONE,CAD
290df8b0-01b4-4c65-926a-c52e8f4e03b5,01/01/2018 00:00:00,New Year's Day,NONE,AUD
68b60f3d-9501-4096-a127-7f66003aff27,01/01/2018 18:30:00,BoC's Schembri speech,MEDIUM,CAD
83577a53-e618-4afc-83aa-c4a8024bfb20,01/01/2018 22:30:00,AiG Performance of Mfg Index,MEDIUM,AUD
c963fe02-a0f6-4de6-988e-866d3529fc64,01/02/2018 00:00:00,"Day after New Year's Day ",NONE,NZD
4ea01a07-0d6a-4205-ab13-2d0b436587a4,01/02/2018 01:45:00,Caixin Manufacturing PMI,MEDIUM,CNY
a41abebc-a0e5-4bd4-b745-ffd0e7928226,01/02/2018 05:30:00,RBA Commodity Index SDR (YoY),LOW,AUD
1f6a5e29-b828-4ff4-8131-65fb1dbc54ea,01/02/2018 08:15:00,HCOB Manufacturing PMI,LOW,EUR
59b5ab8e-916b-4fa3-b6ef-6c931a862486,01/02/2018 08:45:00,HCOB Manufacturing PMI,LOW,EUR
1b67dbed-a26c-4dc5-85d0-45aadc20eb83,01/02/2018 08:50:00,HCOB Manufacturing PMI,LOW,EUR
0077593c-1751-4903-b1d4-32583b4a7648,01/02/2018 08:55:00,HCOB Manufacturing PMI,MEDIUM,EUR
53cfe30c-e5b8-4bda-9078-cac149616bf1,01/02/2018 09:00:00,HCOB Manufacturing PMI,MEDIUM,EUR
5604f748-c872-49dd-9570-25c1772ef951,01/02/2018 09:30:00,S&P Global/CIPS Manufacturing PMI,MEDIUM,GBP
2f08a621-921e-451d-9e80-5a93ea4b6cde,01/02/2018 14:30:00,S&P Global Manufacturing PMI,MEDIUM,CAD
1b4e524f-a9c8-42cc-993f-950c05535489,01/02/2018 14:30:45,GDT Price Index,LOW,NZD
bd231e5f-f48b-4c01-97f8-a53d994897fd,01/02/2018 14:45:00,S&P Global Manufacturing PMI,MEDIUM,USD
971070fb-24a5-4280-86d1-e5dd66d3ce2f,01/02/2018 16:30:00,3-Month Bill Auction,LOW,USD
da3114f3-410b-4917-9ce7-89a2e5d25ba7,01/02/2018 16:30:00,4-Week Bill Auction,LOW,USD
1a805a2b-e28e-43a8-b1b8-0e6641ef9cec,01/02/2018 16:30:00,6-Month Bill Auction,LOW,USD
9b81e9f6-2063-4f0b-a61c-6a6df9fb093a,01/02/2018 18:00:00,52-Week Bill Auction,LOW,USD
7a5a52ae-4031-475b-a71f-90d4b1e5ad14,01/03/2018 08:00:00,Unemployment Change,LOW,EUR
2bb42038-3e66-4584-aa48-4d02a14135e0,01/03/2018 08:30:00,SVME - Purchasing Managers' Index,LOW,CHF
4acb2362-99e1-44a8-abd8-439663b88058,01/03/2018 09:00:00,Unemployment Change,MEDIUM,EUR
