Id,Start,Name,Impact,Currency
bb6c2625-4d0b-42b1-8b14-94c4c7b507a4,01/01/2021 05:00:00,New Year's Day,NONE,USD
e851d356-ce9f-4763-85b0-878c24f71317,01/01/2021 05:00:00,New Year's Day,NONE,CAD
7bd7aec2-7b85-429b-9d13-e2a1e325e016,01/01/2021 12:00:00,"Day after New Year's Day ",NONE,NZD
7666c92e-69b5-45c9-b5e2-035889a9d9f3,01/03/2021 22:00:00,S&P Global Manufacturing PMI,LOW,AUD
b86c8fd1-a868-4974-9891-8d59c877d4da,01/04/2021 00:45:00,Jibun Bank Manufacturing PMI,LOW,JPY
7d3ec8e0-eb7e-45b7-a32a-66a973b1c8e1,01/04/2021 01:45:00,Caixin Manufacturing PMI,MEDIUM,CNY
201271c1-9b11-42f2-8a38-f67f14439c41,01/04/2021 05:30:00,RBA Commodity Index SDR (YoY),LOW,AUD
0ae8f072-0e37-4747-b7e6-1ef522b6bc90,01/04/2021 08:15:00,HCOB Manufacturing PMI,MEDIUM,EUR
39dd3472-e88c-4035-bd64-e80ea54ac503,01/04/2021 08:30:00,SVME - Purchasing Managers' Index,LOW,CHF
7a96681f-80d0-4649-b047-d25f2dd533b3,01/04/2021 08:45:00,HCOB Manufacturing PMI,MEDIUM,EUR
8bb383e2-0cb2-4fb4-9d4b-a862bb826e8e,01/04/2021 08:50:00,HCOB Manufacturing PMI,LOW,EUR
dc61f1ae-0a11-4f32-8cc4-cb5a893dccfa,01/04/2021 08:55:00,HCOB Manufacturing PMI,MEDIUM,EUR
79f8d106-da80-4496-bc76-af21a57040af,01/04/2021 09:00:00,HCOB Manufacturing PMI,LOW,EUR
6fd5fa77-11c7-4b06-9819-f7806c45ebd5,01/04/2021 09:30:00,Consumer Credit,LOW,GBP
6c8c3476-1d43-419f-a830-5d8588a6d90e,01/04/2021 09:30:00,M4 Money Supply (MoM),LOW,GBP
9c17d844-6e21-49e3-a275-e41253689fcf,01/04/2021 09:30:00,M4 Money Supply (YoY),LOW,GBP
08a7bcc3-4645-429a-8638-b830192cc66f,01/04/2021 09:30:00,Mortgage Approvals,LOW,GBP
9c561fe4-4a36-48c3-9f23-03f317737702,01/04/2021 09:30:00,Net Lending to Individuals (MoM),LOW,GBP
6e747491-94f2-45d1-9296-48f0061ed9d4,01/04/2021 09:30:00,S&P Global/CIPS Manufacturing PMI,MEDIUM,GBP
2904b3a0-1928-4d2a-86a6-c1e2342180ac,01/04/2021 10:00:00,OPEC Meeting,MEDIUM,USD
2de5725f-0e34-473f-a689-23e3d3436f99,01/04/2021 14:30:00,S&P Global Manufacturing PMI,MEDIUM,CAD
6148ff23-23b6-4a2c-b460-fe6fbf4353e6,01/04/2021 14:45:00,S&P Global Manufacturing PMI,MEDIUM,USD
814817ef-0e4f-48cd-9438-705b19dd49a4,01/04/2021 15:00:00,Construction Spending (MoM),LOW,USD
c76edf45-520c-4fb9-9871-b89d988f2441,01/04/2021 15:00:00,Fed's Bostic speech,MEDIUM,USD
09229d1f-3823-49fd-8941-960fa52e8400,01/04/2021 15:00:00,Fed's Evans speech,LOW,USD
b8e62232-1405-40bd-9881-f19e45934728,01/04/2021 16:30:00,3-Month Bill Auction,LOW,USD
e3a11dd9-0157-4a57-abd3-b1d1ac3afb4c,01/04/2021 16:30:00,6-Month Bill Auction,LOW,USD
e22ec175-d61f-4e28-a857-5d035d6cac02,01/04/2021 17:15:00,Fed's Mester speech,MEDIUM,USD
4e5491d6-ef5c-4184-bf6c-348721687c37,01/04/2021 20:00:00,UK Prime Minister Boris Johnson speech,MEDIUM,GBP
f7c12ce8-5d79-4dfe-8137-a23b9e7fe4ce,01/04/2021 20:30:00,CFTC Gold NC Net Positions,LOW,USD
bc814151-9939-4fa9-bea5-df4b993732e9,01/04/2021 20:30:00,CFTC Oil NC Net Positions,LOW,USD
da64bccb-a611-4992-a0ff-8a74cd5c2bc9,01/04/2021 20:30:00,CFTC S&P 500 NC Net Positions,LOW,USD
7730daaf-3d86-429c-8001-476b8e8c1cb8,01/04/2021 20:30:00,CFTC GBP NC Net Positions,LOW,GBP
c6e98855-c009-40a1-b2de-52c99149c902,01/04/2021 20:30:00,CFTC JPY NC Net Positions,LOW,JPY
4d17fd63-08d2-4d22-9fa1-9547ffc691d8,01/04/2021 20:30:00,CFTC EUR NC Net Positions,LOW,EUR
c77323c9-3002-4073-a32d-a7856c2e53b7,01/04/2021 20:30:00,CFTC AUD NC Net Positions,LOW,AUD
0e7329b9-513b-4f1f-a5df-87a2d21a91a4,01/04/2021 20:45:00,ECB's Lane speech,MEDIUM,EUR
adc1716a-c854-40f1-87b7-240a525b149e,01/04/2021 23:00:00,Fed's Mester speech,MEDIUM,USD
252bdae3-8de3-4a83-9511-5bab44cb1227,01/04/2021 23:50:00,Monetary Base (YoY),LOW,JPY
5f31db7a-e5be-48dc-99e4-e7c0efb61bea,01/05/2021 00:30:00,ANZ Job Advertisements,LOW,AUD
287b9931-3a07-411e-b80d-a1a33bf50673,01/05/2021 07:00:00,Retail Sales (MoM),MEDIUM,EUR
70dd393b-44dc-4cce-8d62-525d842afedb,01/05/2021 07:00:00,Retail Sales (YoY),HIGH,EUR
ce808bd7-f61d-4015-abcc-cd520798550a,01/05/2021 07:30:00,Consumer Price Index (MoM),LOW,CHF
c9021685-f1d2-48c6-9d96-ffb6b5fbf1f1,01/05/2021 07:30:00,Consumer Price Index (YoY),MEDIUM,CHF
97c48797-dfe9-4a45-80db-382b1534ad4e,01/05/2021 08:00:00,Unemployment Change,LOW,EUR
41877e8d-61d8-4c32-a24c-1ea80e096c4a,01/05/2021 08:55:00,Unemployment Change,MEDIUM,EUR
5315c5f5-a7ff-461d-b84b-8bdbcb895e01,01/05/2021 08:55:00,Unemployment Rate s.a.,MEDIUM,EUR
cf52bd63-baa0-412f-8ea6-3e01e7f76104,01/05/2021 09:00:00,M3 Money Supply (3m),LOW,EUR
44f7b96d-b7c9-44b3-b74c-3c1a09182df6,01/05/2021 09:00:00,M3 Money Supply (YoY),LOW,EUR
7e31c693-43e7-4669-8309-68bd8969f36f,01/05/2021 09:00:00,Private Loans (YoY),LOW,EUR
77e95b27-e59c-4248-b93d-9164b2c6163e,01/05/2021 10:00:00,OPEC Meeting,MEDIUM,USD
71efb7f2-26fc-4b0d-95d3-9ef7dcfbe0fc,01/05/2021 13:30:00,Industrial Product Price (MoM),LOW,CAD
a884566a-adff-4fe5-a00f-7fb562ed8955,01/05/2021 13:30:00,Raw Material Price Index,LOW,CAD
db9a1ad5-eef1-4b86-9747-12a010eb4e16,01/05/2021 13:55:00,Redbook Index (MoM),LOW,USD
28550ef0-c6c0-4924-a789-ddf5773cd51b,01/05/2021 13:55:00,Redbook Index (YoY),LOW,USD
e026a7ae-0871-4404-98da-74ba2873ecaf,01/05/2021 14:45:00,ISM-NY Business Conditions Index,LOW,USD
32ba5e29-df24-4fac-9d04-03131e2e6bc6,01/05/2021 14:55:00,GDT Price Index,LOW,NZD
64f90146-bd8b-4834-b425-dcea1af47f77,01/05/2021 15:00:00,ISM Manufacturing Employment Index,MEDIUM,USD
dae5da5a-c8bc-4869-b49b-2dd0bf397155,01/05/2021 15:00:00,ISM Manufacturing New Orders Index,MEDIUM,USD
fbb9ea54-cec7-4a15-a34a-624cc31a32c7,01/05/2021 15:00:00,ISM Manufacturing PMI,HIGH,USD
1f0c524e-ba37-4b9f-84f3-f9f8b548e4c3,01/05/2021 15:00:00,ISM Manufacturing Prices Paid,MEDIUM,USD
ff203a56-4696-4307-9f64-12dca3c02e89,01/05/2021 17:00:00,UK Prime Minister Boris Johnson speech,MEDIUM,GBP
77226d93-9e36-4c3d-9cbe-13018abf9a10,01/05/2021 20:30:00,Total Vehicle Sales,LOW,USD
a5a0606f-a5d2-47d1-a537-7464f369f16f,01/05/2021 20:45:00,Fed's Evans speech,LOW,USD
93e8e862-5735-4441-b460-2cf9a4f9dee3,01/05/2021 20:45:00,Fed's Williams speech,MEDIUM,USD
1e0e5816-a587-47c7-b71c-2fc4d40eb4da,01/05/2021 21:30:00,API Weekly Crude Oil Stock,LOW,USD
c32f6f96-1092-4f44-a06b-286c85035f8d,01/05/2021 22:00:00,Epiphany,NONE,EUR
16dc7555-93a0-45ad-87f2-b1f57ec138f7,01/05/2021 22:00:00,Epiphany,NONE,EUR
e21c64e0-825e-4726-ac1a-a5c63bdc82e5,01/05/2021 22:00:00,S&P Global Composite PMI,LOW,AUD
4a41f6c6-4129-4b8d-ac7e-7ec28767e40e,01/05/2021 22:00:00,S&P Global Services PMI,MEDIUM,AUD
d19388b9-976d-4852-bc32-ac3d9fe121d2,01/06/2021 00:01:00,BRC Shop Price Index (YoY),LOW,GBP
86ac81dc-37ea-4dfe-b18b-964f192667f1,01/06/2021 00:30:00,Jibun Bank Services PMI,LOW,JPY
7f9ba5da-2f9c-4f8a-b85b-8d83a9693b23,01/06/2021 01:45:00,Caixin Services PMI,MEDIUM,CNY
8e01dab8-2cf4-499d-afc2-54dbeb7407ea,01/06/2021 03:35:00,10-y Bond Auction,LOW,JPY
fa526402-bb61-45c9-a8d5-e6d79c403b2b,01/06/2021 05:00:00,Consumer Confidence Index,LOW,JPY
d660cb23-f41d-4191-a1e3-bd148377f466,01/06/2021 07:45:00,Consumer Confidence,LOW,EUR
ec0c56ea-bedc-4fba-83a8-20b795b9c58d,01/06/2021 07:45:00,Consumer Price Index (EU norm) (MoM),LOW,EUR
5ecd1b54-7299-4c76-b4c9-2bc3783f1bda,01/06/2021 07:45:00,Consumer Price Index (EU norm) (YoY),LOW,EUR
bd7d85b3-f7bd-48d6-9372-55d25a2b3349,01/06/2021 08:15:00,HCOB Services PMI,MEDIUM,EUR
3f41c76a-16f8-45d2-82c4-46826f651df8,01/06/2021 08:45:00,HCOB Services PMI,MEDIUM,EUR
3e63a229-bc8c-41b0-b3cc-072e5f4f1fbd,01/06/2021 08:50:00,HCOB Composite PMI,LOW,EUR
88a979e1-6bba-4936-87eb-54182c5234c6,01/06/2021 08:50:00,HCOB Services PMI,LOW,EUR
5759bc98-7335-4be0-a75f-ada8c64cfe8f,01/06/2021 08:55:00,HCOB Composite PMI,MEDIUM,EUR
86265086-9ff3-4b25-aac4-caec7e5b9330,01/06/2021 08:55:00,HCOB Services PMI,LOW,EUR
2266405e-99bc-4b71-83a1-03e42846fd14,01/06/2021 09:00:00,HCOB Composite PMI,MEDIUM,EUR
e2292546-8dc4-4c8f-b2a8-3c134378bc75,01/06/2021 09:00:00,HCOB Services PMI,LOW,EUR
ada6a743-a135-4ac0-9a85-1343e2c0f869,01/06/2021 09:30:00,S&P Global/CIPS Composite PMI,MEDIUM,GBP
088315a2-4a0c-436e-858d-5b9721bee9b6,01/06/2021 09:30:00,S&P Global/CIPS Services PMI,LOW,GBP
d38ee3a8-c484-4169-b4bd-4d15d21301cc,01/06/2021 10:00:00,Producer Price Index (MoM),LOW,EUR
