Id,Start,Name,Impact,Currency
289f7bf0-e07a-4ae5-be3e-c3099d7d57b0,01/01/2016 00:00:00,New Year's Day,NONE,USD
daeff945-2698-4642-82f8-526cd0b207e1,01/01/2016 00:00:00,"New Year's Day ",NONE,NZD
2993d360-8098-4546-b4ae-9b00ece19b18,01/01/2016 00:00:00,New Year's Day,NONE,JPY
9d4798a3-6d3c-4d31-97e6-9d36f687d3dd,01/01/2016 00:00:00,New Year's Day,NONE,EUR
bef65bb6-a0e2-4a9e-acd1-4df4a059886e,01/01/2016 00:00:00,New Year's Day,NONE,EUR
45b40819-b2d4-4f97-99a1-a75eae62907b,01/01/2016 00:00:00,New Year's Day,NONE,EUR
a116129a-ca24-4852-9f86-52b68e274567,01/01/2016 00:00:00,New Year's Day,NONE,EUR
26ae5171-fde2-4e63-8c5f-4b35fbeaba4c,01/01/2016 00:00:00,New Year's Day,NONE,CNY
81a8e03a-1ab7-4c52-bece-5c88254d92c2,01/01/2016 00:00:00,New Year's Day,NONE,CHF
acd1de19-929c-4f40-92cc-1f0be1aa65e7,01/01/2016 00:00:00,New Year's Day,NONE,CAD
7a28171f-d217-4e46-a91d-f67b29ca9128,01/01/2016 00:30:00,Jibun Bank Manufacturing PMI,LOW,JPY
8e0ab177-c13c-4737-b762-fe25fa6367a0,01/01/2016 00:30:00,Westpac Consumer Confidence,MEDIUM,AUD
b62b715a-4248-4eeb-a22e-28ae192a6967,01/01/2016 00:30:00,Westpac Consumer Confidence Index,LOW,AUD
b323a957-5b20-4838-b870-72eb74604682,01/01/2016 01:00:00,NBS Manufacturing PMI,MEDIUM,CNY
0347ac17-ba4c-4ef9-8b28-53b3fee55c5a,01/01/2016 01:00:00,Non-Manufacturing PMI,MEDIUM,CNY
ab050a64-f430-4965-81ac-b15d04dd404c,01/01/2016 02:00:00,MNI Business Sentiment Indicator,LOW,CNY
bf9b464f-9329-4449-96d6-9623d1cd7e20,01/01/2016 05:00:00,Vehicle Sales (YoY),LOW,JPY
1f3389f1-0abf-4e28-b500-9e808d4c09ac,01/01/2016 09:00:00,Eurozone Economic Outlook,LOW,EUR
fcb93a51-dfca-4a7d-8dee-a88d5659bda8,01/01/2016 10:30:00,Financial Stability Report,MEDIUM,GBP
accde88a-6c18-4060-b987-de90e16bdc90,01/01/2016 13:30:00,ECB's President Draghi speech,HIGH,EUR
80e9f6cb-b6de-4c32-8403-cff2671cfa46,01/03/2016 22:30:00,AiG Performance of Mfg Index,MEDIUM,AUD
f694abf9-4bfb-460e-be04-356c630cad8d,01/04/2016 00:00:00,"Day after New Year's Day ",NONE,NZD
0ef8cd2e-c734-43e6-bcbb-659d9763bf66,01/04/2016 01:35:00,Jibun Bank Manufacturing PMI,LOW,JPY
fae595aa-88a4-42ea-b801-937d7fd7aec2,01/04/2016 01:45:00,Caixin Manufacturing PMI,MEDIUM,CNY
053bc2ac-72c6-4c48-82c0-5526f9ebdf05,01/04/2016 05:30:00,RBA Commodity Index SDR (YoY),LOW,AUD
c1a5430c-cd7e-42e9-acbf-d275f042e460,01/04/2016 08:15:00,HCOB Manufacturing PMI,LOW,EUR
44a58bc3-0dec-4944-8bd2-892b58d9d1e4,01/04/2016 08:30:00,SVME - Purchasing Managers' Index,LOW,CHF
db692b7c-5cbe-4b5c-b1bd-909afe90cdf3,01/04/2016 08:45:00,HCOB Manufacturing PMI,LOW,EUR
c66f8dec-fe47-4cbf-86ab-e13c063bc255,01/04/2016 08:50:00,HCOB Manufacturing PMI,LOW,EUR
1ce066f4-d012-4960-810c-414fa387c464,01/04/2016 08:55:00,HCOB Manufacturing PMI,MEDIUM,EUR
a9e7a167-3926-4505-957c-55e49fd45258,01/04/2016 09:00:00,HCOB Manufacturing PMI,MEDIUM,EUR
2b2e6685-cbd2-47c4-9295-55215e52f6b7,01/04/2016 09:30:00,Consumer Credit,MEDIUM,GBP
75434541-3616-4273-b840-626aedaa2a52,01/04/2016 09:30:00,M4 Money Supply (MoM),LOW,GBP
d1265b71-6056-4c1d-a594-edf8d312713d,01/04/2016 09:30:00,M4 Money Supply (YoY),LOW,GBP
0714e895-9adc-46a3-a783-aa8caf30face,01/04/2016 09:30:00,Mortgage Approvals,MEDIUM,GBP
a63a545e-5af6-4e89-abb5-3c33a668e8b7,01/04/2016 09:30:00,Net Lending to Individuals (MoM),LOW,GBP
1e1763e3-7cec-477f-85b9-5e4e827d8b28,01/04/2016 09:30:00,S&P Global/CIPS Manufacturing PMI,MEDIUM,GBP
65eab516-ad01-4b22-bf01-e58c24d74df4,01/04/2016 13:00:00,Consumer Price Index (MoM),MEDIUM,EUR
cf413cc1-2962-4aa0-b823-9bc716591002,01/04/2016 13:00:00,Consumer Price Index (YoY),MEDIUM,EUR
c4d6d7b9-8a13-43be-90b6-649823a74cdb,01/04/2016 13:00:00,Harmonized Index of Consumer Prices (MoM),MEDIUM,EUR
cd8dacf7-9302-4f51-9ca4-7b4230b89085,01/04/2016 13:00:00,Harmonized Index of Consumer Prices (YoY),MEDIUM,EUR
8445ce47-c280-4788-86ee-0445ac6c442b,01/04/2016 14:30:00,S&P Global Manufacturing PMI,MEDIUM,CAD
ff190fcd-674e-4daa-951e-04f77d1ce97f,01/04/2016 14:45:00,S&P Global Manufacturing PMI,MEDIUM,USD
59a416f2-9884-46f0-b76c-9c0a747e1037,01/04/2016 15:00:00,Construction Spending (MoM),MEDIUM,USD
4510d2b9-f291-4b49-a7bb-b143d71d88c6,01/04/2016 15:00:00,ISM Manufacturing PMI,HIGH,USD
8d62a134-9b09-4a23-81ca-165ddf22f76c,01/04/2016 15:00:00,ISM Manufacturing Prices Paid,HIGH,USD
e15f79d6-024b-4848-814d-8660275befbe,01/04/2016 16:30:00,3-Month Bill Auction,LOW,USD
f32ae73f-c781-48f9-b463-0c1e08a79bf3,01/04/2016 16:30:00,6-Month Bill Auction,LOW,USD
183edda1-35cf-4726-a704-73e51ec59874,01/04/2016 19:30:00,CFTC Gold NC Net Positions,LOW,USD
446ab522-3bce-4bfd-9551-ae1002218446,01/04/2016 19:30:00,CFTC Oil NC Net Positions,LOW,USD
9d244296-a676-4d74-8bb9-16904e7357eb,01/04/2016 19:30:00,CFTC S&P 500 NC Net Positions,LOW,USD
ae46a738-6d27-413c-9c5c-1d241f97d127,01/04/2016 19:30:00,CFTC GBP NC Net Positions,LOW,GBP
6e476c92-ef7e-431f-b21f-95a9bf17b4e6,01/04/2016 19:30:00,CFTC JPY NC Net Positions,LOW,JPY
ca405c46-4e66-437a-87ea-f8b0023e9ec5,01/04/2016 19:30:00,CFTC EUR NC Net Positions,LOW,EUR
80749676-6beb-4938-a005-c1e73c6c48b5,01/04/2016 19:30:00,CFTC AUD NC Net Positions,LOW,AUD
d88146c6-ad77-41e4-84d9-8dabd73e4222,01/04/2016 23:50:00,Monetary Base (YoY),LOW,JPY
427deeb4-7b17-4b50-b8ac-581c67568f38,01/05/2016 08:00:00,Unemployment Change,LOW,EUR
6b971eed-9f44-4354-a906-e0ba41eddc33,01/05/2016 08:55:00,Unemployment Change,MEDIUM,EUR
2cec4637-d4f1-49b9-8c7c-76c418054fe0,01/05/2016 08:55:00,Unemployment Rate s.a.,MEDIUM,EUR
b0267d4a-b3e6-4848-96e5-b3085e75052c,01/05/2016 09:30:00,S&P Global Construction PMI,MEDIUM,GBP
65408d8f-7bac-4f55-9063-f6d526b4673c,01/05/2016 10:00:00,10-y Bond Auction,LOW,GBP
d6270c55-360a-4c9d-afdd-da8ce552d1d8,01/05/2016 10:00:00,Consumer Price Index (EU Norm) (MoM),LOW,EUR
2482b5f7-403c-4d8e-a6af-1ab9a3ca23b5,01/05/2016 10:00:00,Consumer Price Index (EU Norm) (YoY),LOW,EUR
4df6407e-d763-491e-be25-ada815324357,01/05/2016 10:00:00,Consumer Price Index (MoM),LOW,EUR
a2a63237-ce0a-48c5-a1ea-5cb60c82b83c,01/05/2016 10:00:00,Consumer Price Index (YoY),LOW,EUR
775698fc-5f73-4efd-a08c-8482d4801b23,01/05/2016 10:00:00,Core Harmonized Index of Consumer Prices (YoY),HIGH,EUR
65ccd115-e4a1-4bd0-8c0d-15b6ee9ae60f,01/05/2016 10:00:00,Harmonized Index of Consumer Prices (YoY),HIGH,EUR
