Id,Start,Name,Impact,Currency
921961bf-1e44-44fd-8c98-ef55b4b878d0,01/01/2017 00:00:00,New Year's Day,NONE,USD
de4fb449-117b-47db-904d-60cdde896197,01/01/2017 00:00:00,"New Year's Day ",NONE,NZD
6aca2dd1-d990-4962-9d4c-c0b171721b10,01/01/2017 00:00:00,New Year's Day,NONE,JPY
529aff44-81c8-4302-b53c-e9e59abb425d,01/01/2017 00:00:00,New Year's Day,NONE,EUR
fa5db1fc-8f77-4fe9-bd8e-153510742df2,01/01/2017 00:00:00,New Year's Day,NONE,EUR
2a53168d-2a49-44b9-82bf-49d37552ee32,01/01/2017 00:00:00,New Year's Day,NONE,EUR
2ae96790-e6e3-4e60-9a35-68309e3ef70b,01/01/2017 00:00:00,New Year's Day,NONE,EUR
802d327b-2b27-424f-a9b4-2c7b95fab223,01/01/2017 00:00:00,New Year's Day,NONE,CNY
af09c4a2-a453-4e8e-ac34-6a0b0d69f05f,01/01/2017 00:00:00,New Year's Day,NONE,CHF
148ef0b7-1a12-46dc-b0f0-e1b9656f8556,01/01/2017 00:00:00,New Year's Day,NONE,CAD
94723ae5-336f-432c-8f9b-f9b4a8aab97a,01/01/2017 00:00:00,New Year's Day,NONE,AUD
d459c3c2-e5ad-4de2-a541-4e724f20bd34,01/01/2017 01:00:00,NBS Manufacturing PMI,HIGH,CNY
58309ed1-1bd6-442c-af9d-9a6109471fbf,01/01/2017 01:00:00,Non-Manufacturing PMI,MEDIUM,CNY
dad0bd3f-4c40-4ea7-8928-0293559d4135,01/01/2017 01:45:00,Caixin Manufacturing PMI,MEDIUM,CNY
49578ff4-1774-4a50-baec-8c3899ff8e08,01/01/2017 02:00:00,RBA Annual Report,LOW,AUD
aa63679d-2ede-42cb-b48f-069e0e5ff1f0,01/01/2017 10:00:00,Consumer Price Index (EU Norm) (MoM),LOW,EUR
0ba410ca-2048-4e26-8303-3378a36de33b,01/01/2017 10:00:00,Consumer Price Index (EU Norm) (YoY),LOW,EUR
90c3e48c-5aba-46a5-be34-723fab0b1662,01/01/2017 10:00:00,Consumer Price Index (MoM),LOW,EUR
05f6715d-1b1d-469a-8499-e13c6bd14afd,01/01/2017 10:00:00,Consumer Price Index (YoY),LOW,EUR
17189727-abf8-4def-911e-79eba71e79a4,01/01/2017 12:00:00,BoE Monetary Policy Statement,HIGH,GBP
c3ab9b52-d9be-426e-815c-b36309cd4021,01/01/2017 23:01:00,BRC Shop Price Index (YoY),LOW,GBP
a42ea17b-1756-4837-a64b-e97eff2f846c,01/02/2017 00:00:00,New Year's Day (Observed),NONE,USD
17810267-2992-4d0e-b615-09e5c72bfc39,01/02/2017 00:00:00,New Year's Day (Observed),NONE,GBP
09ab45cf-e35f-4852-9d5a-9d8f8f18fe4d,01/02/2017 00:00:00,"Day after New Year's Day ",NONE,NZD
c8dcf3aa-fbf1-4153-908a-ce25c419a5b8,01/02/2017 00:00:00,New Year's Day (Observed),NONE,EUR
3920f5c6-0184-4dd0-b927-f3d6c3c3f76c,01/02/2017 00:00:00,New Year's holiday,NONE,AUD
16c1c002-6042-4c0f-84e3-ef808108b305,01/02/2017 08:15:00,HCOB Manufacturing PMI,LOW,EUR
6b1fb1eb-e730-4972-bebc-9689ad20da44,01/02/2017 08:45:00,HCOB Manufacturing PMI,LOW,EUR
e072e2f9-0c12-43f4-8802-e57636ec238a,01/02/2017 08:50:00,HCOB Manufacturing PMI,LOW,EUR
a75ed6d3-3791-426a-9f4c-b9662cdea036,01/02/2017 08:55:00,HCOB Manufacturing PMI,MEDIUM,EUR
