Gmt time,Open,High,Low,Close,Volume
03.01.2016 22:00:00.000,1.38146,1.38696,1.38139,1.38670,1525439.9414
03.01.2016 23:00:00.000,1.38681,1.38756,1.38414,1.38739,2764330.0781
04.01.2016 00:00:00.000,1.38736,1.38736,1.38493,1.38681,2715919.9219
04.01.2016 01:00:00.000,1.38681,1.39093,1.38681,1.39073,3753699.9512
04.01.2016 02:00:00.000,1.39073,1.39182,1.38908,1.38953,3677669.9219
04.01.2016 03:00:00.000,1.38953,1.38986,1.38824,1.38890,1825780.0293
04.01.2016 04:00:00.000,1.38885,1.38958,1.38862,1.38922,2366979.9805
04.01.2016 05:00:00.000,1.38923,1.39008,1.38912,1.38950,3463189.9414
04.01.2016 06:00:00.000,1.38951,1.39071,1.38928,1.39069,2349810.0586
04.01.2016 07:00:00.000,1.39069,1.39359,1.39047,1.39261,5694229.9805
04.01.2016 08:00:00.000,1.39259,1.39374,1.39214,1.39334,7241450.1953
04.01.2016 09:00:00.000,1.39334,1.39389,1.39022,1.39051,6374589.8438
04.01.2016 10:00:00.000,1.39051,1.39068,1.38855,1.39054,6060680.1758
04.01.2016 11:00:00.000,1.39055,1.39246,1.38877,1.39114,6119350.0977
04.01.2016 12:00:00.000,1.39114,1.39283,1.39091,1.39112,5973569.8242
04.01.2016 13:00:00.000,1.39111,1.39286,1.39050,1.39064,6552049.8047
04.01.2016 14:00:00.000,1.39070,1.39112,1.38755,1.38796,8527669.9219
04.01.2016 15:00:00.000,1.38806,1.39450,1.38720,1.39425,10272299.8047
04.01.2016 16:00:00.000,1.39425,1.39831,1.39381,1.39688,8929469.7266
04.01.2016 17:00:00.000,1.39692,1.39736,1.39522,1.39599,5094830.0781
04.01.2016 18:00:00.000,1.39598,1.39612,1.39455,1.39494,5015080.0781
04.01.2016 19:00:00.000,1.39494,1.39606,1.39473,1.39534,4165779.7852
04.01.2016 20:00:00.000,1.39534,1.39550,1.39388,1.39393,3557929.9316
04.01.2016 21:00:00.000,1.39394,1.39537,1.39325,1.39517,2345219.9707
04.01.2016 22:00:00.000,1.39516,1.39534,1.39262,1.39272,1792930.0537
04.01.2016 23:00:00.000,1.39273,1.39404,1.39273,1.39360,1777380.0049
05.01.2016 00:00:00.000,1.39360,1.39368,1.39250,1.39285,1576119.9951
05.01.2016 01:00:00.000,1.39285,1.39290,1.39151,1.39156,3385679.9316
05.01.2016 02:00:00.000,1.39156,1.39196,1.39019,1.39023,2417080.0781
05.01.2016 03:00:00.000,1.39022,1.39079,1.38976,1.39078,1832569.9463
05.01.2016 04:00:00.000,1.39078,1.39108,1.39017,1.39089,1501290.0391
05.01.2016 05:00:00.000,1.39087,1.39199,1.39079,1.39163,1904560.0586
05.01.2016 06:00:00.000,1.39162,1.39252,1.39137,1.39195,2615350.0977
05.01.2016 07:00:00.000,1.39195,1.39204,1.39055,1.39076,4921600.0977
05.01.2016 08:00:00.000,1.39076,1.39364,1.39071,1.39303,7542600.0977
05.01.2016 09:00:00.000,1.39303,1.39379,1.39235,1.39328,6549850.0977
05.01.2016 10:00:00.000,1.39329,1.39489,1.39299,1.39408,6116370.1172
05.01.2016 11:00:00.000,1.39409,1.39462,1.39196,1.39251,5695549.8047
05.01.2016 12:00:00.000,1.39250,1.39450,1.39236,1.39357,5845580.0781
05.01.2016 13:00:00.000,1.39356,1.39364,1.39187,1.39249,9508860.3516
05.01.2016 14:00:00.000,1.39251,1.39661,1.39214,1.39658,11511299.8047
05.01.2016 15:00:00.000,1.39658,1.39847,1.39505,1.39839,12156620.1172
05.01.2016 16:00:00.000,1.39837,1.40186,1.39672,1.39933,11017230.4688
05.01.2016 17:00:00.000,1.39933,1.40107,1.39889,1.40002,7305770.0195
05.01.2016 18:00:00.000,1.40002,1.40129,1.39896,1.39945,5874979.9805
05.01.2016 19:00:00.000,1.39945,1.39988,1.39808,1.39913,5655430.1758
05.01.2016 20:00:00.000,1.39913,1.40012,1.39871,1.39889,4923189.9414
05.01.2016 21:00:00.000,1.39889,1.39959,1.39762,1.39951,4415029.7852
05.01.2016 22:00:00.000,1.39946,1.39948,1.39802,1.39802,2222600.0977
05.01.2016 23:00:00.000,1.39799,1.39898,1.39722,1.39874,2326760.0098
06.01.2016 00:00:00.000,1.39868,1.39912,1.39792,1.39907,1411849.9756
06.01.2016 01:00:00.000,1.39906,1.40149,1.39880,1.40107,4352740.2344
06.01.2016 02:00:00.000,1.40105,1.40390,1.40096,1.40322,4509220.2148
06.01.2016 03:00:00.000,1.40326,1.40360,1.40258,1.40259,4268160.1563
06.01.2016 04:00:00.000,1.40260,1.40321,1.40228,1.40319,2034020.0195
06.01.2016 05:00:00.000,1.40319,1.40381,1.40239,1.40373,2635610.1074
06.01.2016 06:00:00.000,1.40373,1.40441,1.40282,1.40347,3853770.0195
06.01.2016 07:00:00.000,1.40345,1.40523,1.40325,1.40480,5680220.2148
06.01.2016 08:00:00.000,1.40482,1.40925,1.40460,1.40837,9128490.2344
